epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
135,16770.4,1.23989,0.57177,0.9722,0.98655,0.82913,0.88896,0.66185,0.99997,0.48525,0.93241,0.00173468,0.00173468,0.00173468
136,16839.3,1.19661,0.55653,0.96946,0.98782,0.82855,0.89037,0.66976,0.97973,0.47501,0.92729,0.0017327,0.0017327,0.0017327
137,16954.4,1.21225,0.56165,0.96867,0.98783,0.8285,0.89244,0.67033,0.98646,0.47788,0.93113,0.00173072,0.00173072,0.00173072
138,17042.2,1.22498,0.56225,0.97572,0.98607,0.82813,0.89062,0.66472,1.00985,0.48068,0.93498,0.00172874,0.00172874,0.00172874
139,17129.2,1.2078,0.56394,0.96674,0.98837,0.82849,0.89077,0.67375,0.97232,0.47608,0.92471,0.00172676,0.00172676,0.00172676
140,17221.3,1.21006,0.5608,0.96442,0.98775,0.82819,0.88952,0.66318,1.00489,0.48388,0.93557,0.00172478,0.00172478,0.00172478
141,17299.6,1.19233,0.55527,0.97088,0.98848,0.82793,0.89196,0.67298,0.97922,0.47527,0.92704,0.0017228,0.0017228,0.0017228
142,17423.3,1.18142,0.55191,0.96163,0.98715,0.82857,0.89027,0.67007,0.98129,0.47575,0.92378,0.00172082,0.00172082,0.00172082
143,17543.8,1.20697,0.55739,0.9695,0.9884,0.82769,0.89213,0.67172,0.9813,0.47367,0.92715,0.00171884,0.00171884,0.00171884
144,17640.9,1.22253,0.56137,0.96536,0.98688,0.82877,0.89048,0.66612,1.00161,0.48157,0.93404,0.00171686,0.00171686,0.00171686
145,17732.5,1.19265,0.55506,0.9679,0.98776,0.8299,0.89075,0.6751,0.96698,0.46884,0.92306,0.00171488,0.00171488,0.00171488
146,17838.2,1.21674,0.56174,0.96237,0.98647,0.82853,0.89001,0.66784,0.9822,0.4714,0.9259,0.0017129,0.0017129,0.0017129
